#,Station,lat,lon,16-Dec,17-Dec,18-Dec,Accumulated
98132,"Itbayat, Batane...",20.787,121.838,29.8,3.6,0,33.4
98133,"Calayan, Cagaya...",19.263,121.467,27.7,7.2,3.1,38
98134,"Basco, Batanes",20.427,121.971,38.8,5,0,43.8
98222,"Sinait, Ilocos...",17.89,120.46,0,0,0,0
98223,"Laoag City, Ilo...",18.183,120.535,0,0,0,0
98232,"Aparri, Cagayan",18.36,121.63,4,18.7,6.6,29.3
98233,Tuguegarao City...,17.648,121.759,0,1.9,4.8,6.7
98324,"Iba, Zambales",15.326,119.969,0,0,0.2,0.2
98325,"Dagupan City, P...",16.087,120.352,0,0,0,0
98327,"Clark, Pampanga",15.186,120.549,T,0,T,0
98328,"Baguio City, Be...",16.404,120.602,0,0,T,0
98329,"Munoz, Nueva Ec...",15.736,120.937,0,0,0.2,0.2
98334,"Baler, Aurora",15.749,121.632,3,13.3,80.2,96.5
98336,"Casiguran, Auro...",16.265,122.129,14,30.5,97,141.5
98422,"Abucay, Bataan",14.741,120.452,T,T,7.2,7.2
98425,"Port Area, Mani...",14.588,120.968,0,0,0,0
98426,"Subic, Zambales",14.792,120.271,0.5,0,T,0.5
98427,"Tayabas, Quezon",14.018,121.597,7,16.5,33.5,57
98428,"Sangley Pt, Cav...",14.495,120.907,0,0.1,1.7,1.8
98429,"NAIA, Pasay Cit...",14.505,121.005,T,0.5,2.5,3
98430,"Science Garden,...",14.645,121.044,1,3.2,1.6,5.8
98431,"Calapan City, O...",13.415,121.187,3.8,7,4.2,15
98432,"Ambulong, Batan...",14.088,121.062,0,1.6,18,19.6
98433,"Tanay, Rizal",14.581,121.369,0,15.5,18.9,34.4
98434,"Infanta, Quezon",14.748,121.678,6.6,21.6,50.8,79
98435,"Alabat, Quezon",14.105,122.018,5,15.6,18.4,39
98437,"Mulanay, Quezon",,,10.2,4.9,0.5,15.6
98440,"Daet, Camarines...",14.129,122.983,20.8,3.6,32.7,57.1
98444,"Legazpi City, A...",13.151,123.728,5.4,13.5,35.8,54.7
98446,"Virac, Catandua...",13.578,124.208,0.5,2,14.4,16.9
98526,"Coron, Palawan",12.004,120.2,0,0,0,0
98531,"San Jose, Occid...",12.36,121.048,0,0,0.5,0.5
98536,"Romblon, Romblo...",12.579,122.27,31,0,1.5,32.5
98538,"Roxas City, Cap...",11.6,122.75,0,T,2.5,2.5
98543,"Masbate City, M...",12.366,123.629,0,4,1.4,5.4
98545,"Juban, Sorsogon",12.839,123.997,11.4,30.4,17.8,59.6
98546,"Catarman, North...",12.505,124.629,7.5,16.7,12.2,36.4
98548,Catbalogan City...,11.775,124.884,4.2,23.9,4,32.1
98550,"Tacloban City,...",11.23,125.025,1.4,44.2,24.7,70.3
98553,"Borongan City,...",11.661,125.443,2.2,43.2,12.4,57.8
98558,"Guiuan, Eastern...",11.046,125.756,0,46.4,26.1,72.5
98602,"Pagasa Island,...",,,0,0,0,0
98618,Puerto Princesa...,9.74,118.759,0,0,2,2
98630,"Cuyo, Palawan",10.854,121.008,0,0,3,3
98642,"Dumaguete City,...",9.335,123.303,0,11.2,47.4,58.6
98644,"Dauis, Bohol",9.584,123.816,3.2,28.2,23.6,55
98646,"Mactan City, Ce...",10.322,123.98,0,12.4,27,39.4
98648,"Maasin City, So...",10.135,124.861,0.8,98.8,40.6,140.2
98653,"Surigao City, S...",9.783,125.489,10.7,184,14.8,209.5
98741,"Dipolog City, Z...",8.599,123.344,0,4.4,33.4,37.8
98746,"Cotabato City,...",7.162,124.215,0,0,2,2
98747,"Laguindingan, M...",8.605,124.457,0.4,7.1,5,12.5
98751,"Malaybalay, Buk...",8.151,125.134,1.4,0.8,7,9.2
98752,"Butuan City, Ag...",8.947,125.482,0.2,41.1,61.9,103.2
98753,"Davao City, Dav...",7.128,125.655,0,T,27.7,27.7
98755,"Hinatuan, Surig...",8.367,126.339,0,0,0,0
98836,"Zamboanga City,...",6.919,122.064,0,0,3.8,3.8
98851,General Santos...,6.057,125.104,0,0,0,0
98228,"BATAC, ILOCOS NORTE",18.05405211,120.5455941,0,0,0,0
98326,"BSU, BENGUET",16.45044427,120.5936415,0,0,0,0
98333,"ISU, ECHAGUE, ISABELA",16.72568113,121.6984589,0.9,8.7,11.4,21
98331,"BAYOMBONG, NUEVA VIZCAYA",16.48154632,121.1431629,10,1.9,8.3,20.2
98321,"TCA-CAMILING , TARLAC",15.63682587,120.4159152,0,0,0,0
98322,"HACIENDA LUISITA, TARLAC",15.43606815,120.6463349,T,T,T,0
98017,CLSU- MUNYOZ,15.73586,120.9368,0,0,0.2,0.2
98423,"CVSU, INDANG CAVITE",14.19783552,120.8835844,0,1.9,8.8,10.7
98424,"ULB-LOS BANYOS, LAGUNA",14.16670933,121.2390824,0,4.8,17.2,22
98034,"ABORLAN, PALAWAN",9.39167,118.495575,0,0,3.6,3.6
98443,BUCAF-ALBAY,13.19281803,123.5952261,0,4.5,0,4.5
98442,"PILI, CAMARINES SUR",13.58007046,123.2621469,8.6,0,1,9.6
98058,LA GANJA-LA CARLOTA,10.407525,122.9827,0,2.5,21.2,23.7
98537,"MAMBUSAO, CAPIZ",11.44435222,122.5478921,1.6,0.5,22.2,24.3
98638,"DUMANGAS, ILOILO",10.85805914,122.7188305,0,2.2,30.8,33
98041,"UEP-CATARMAN, SMAR",12.510914,124.663887,4.2,12.9,11.1,28.2
98055,"VSU-BAYBAY, LEYTE",10.745404,124.790965,4.6,20.4,37.8,62.8
98754,PAC-BAGO OSHIRO DAVAO,7.067635978,125.4962738,0,0.9,9.7,10.6
98191,"UESEP - TAGUM, DAVAO",7.4184,125.8311,0,6,24.7,30.7
98071,"MSU, MARAWI CITY",7.993612972,124.2574303,0,9.7,1.1,10.8
