geocode,province,municipality,signal
PH043413000,Laguna,Lumban,1
PH043415000,Laguna,Magdalena,1
PH043403000,Laguna,City of Biñan,1
PH043430000,Laguna,Victoria,1
PH043420000,Laguna,Pakil,1
PH043401000,Laguna,Alaminos,1
PH043426000,Laguna,Santa Cruz,1
PH043428000,Laguna,City of Santa Rosa,1
PH043406000,Laguna,Calauan,1
PH043422000,Laguna,Pila,1
PH043408000,Laguna,Famy,1
PH043424000,Laguna,San Pablo City,1
PH045624000,Quezon,Lucena City,1
PH045630000,Quezon,Pagbilao,1
PH045648000,Quezon,Tiaong,1
PH045641000,Quezon,San Antonio,1
PH045608000,Quezon,Candelaria,1
PH045623000,Quezon,Lucban,1
PH045639000,Quezon,Sampaloc,1
PH045645000,Quezon,Sariaya,1
PH045647000,Quezon,City of Tayabas,1
PH045615000,Quezon,Dolores,1
PH041007000,Batangas,Calaca,1
PH041009000,Batangas,Cuenca,1
PH041032000,Batangas,Taysan,1
PH041013000,Batangas,Lian,1
PH041034000,Batangas,Tuy,1
PH041003000,Batangas,Balayan,1
PH041030000,Batangas,Talisay,1
PH041020000,Batangas,Padre Garcia,1
PH041001000,Batangas,Agoncillo,1
PH041028000,Batangas,Santo Tomas,1
PH041022000,Batangas,San Jose,1
PH041012000,Batangas,Lemery,1
PH041014000,Batangas,Lipa City,1
PH041010000,Batangas,Ibaan,1
PH041031000,Batangas,City of Tanauan,1
PH041018000,Batangas,Mataasnakahoy,1
PH041002000,Batangas,Alitagtag,1
PH041004000,Batangas,Balete,1
PH041019000,Batangas,Nasugbu,1
PH041023000,Batangas,San Juan,1
PH041025000,Batangas,San Nicolas,1
PH041021000,Batangas,Rosario,1
PH041011000,Batangas,Laurel,1
PH041027000,Batangas,Santa Teresita,1
PH041029000,Batangas,Taal,1
PH041017000,Batangas,Malvar,1
PH037703000,Aurora,Dilasag,2
PH037702000,Aurora,Casiguran,2
PH037704000,Aurora,Dinalungan,2
PH023136000,Isabela,Santo Tomas,2
PH023106000,Isabela,Cabagan,2
PH023137000,Isabela,Tumauini,2
PH023133000,Isabela,San Pablo,2
PH023134000,Isabela,Santa Maria,2
PH023122000,Isabela,Quezon,2
PH023118000,Isabela,Delfin Albano,2
PH023119000,Isabela,Mallig,2
PH023123000,Isabela,Quirino,2
PH023126000,Isabela,Roxas,2
PH023105000,Isabela,Burgos,2
PH023114000,Isabela,Ilagan City,2
PH023131000,Isabela,San Mariano,2
PH023113000,Isabela,Gamu,2
PH023120000,Isabela,Naguilian,2
PH023104000,Isabela,Benito Soliven,2
PH023108000,Isabela,City of Cauayan,2
PH023125000,Isabela,Reina Mercedes,2
PH023116000,Isabela,Luna,2
PH023130000,Isabela,San Manuel,2
PH023103000,Isabela,Aurora,2
PH023107000,Isabela,Cabatuan,2
PH023128000,Isabela,San Guillermo,2
PH023112000,Isabela,Echague,2
PH023115000,Isabela,Jones,2
PH023102000,Isabela,Angadanan,2
PH023101000,Isabela,Alicia,2
PH023132000,Isabela,San Mateo,2
PH023129000,Isabela,San Isidro,2
PH023127000,Isabela,San Agustin,2
PH025704000,Quirino,Maddela,2
PH021529000,Cagayan,Tuguegarao City,2
PH021512000,Cagayan,Enrile,2
PH148104000,Apayao,Kabugao,2
PH148102000,Apayao,Conner,2
PH021526000,Cagayan,Santo Niño,2
PH021521000,Cagayan,Rizal,2
PH021520000,Cagayan,Piat,2
PH021528000,Cagayan,Tuao,2
PH143213000,Kalinga,City of Tabuk,2
PH143211000,Kalinga,Rizal,2
PH143209000,Kalinga,Pinukpuk,2
PH143201000,Kalinga,Balbalan,2
PH143208000,Kalinga,Pasil,2
PH143215000,Kalinga,Tinglayan,2
PH143206000,Kalinga,Lubuagan,2
PH143214000,Kalinga,Tanudan,2
PH037706000,Aurora,Dipaculao,2
PH025706000,Quirino,Nagtipunan,2
PH025701000,Quirino,Aglipay,2
PH025702000,Quirino,Cabarroguis,2
PH025703000,Quirino,Diffun,2
PH025705000,Quirino,Saguday,2
PH025009000,Nueva Vizcaya,Kasibu,2
PH025011000,Nueva Vizcaya,Quezon,2
PH025006000,Nueva Vizcaya,Diadi,2
PH025003000,Nueva Vizcaya,Bagabag,2
PH023135000,Isabela,City of Santiago,2
PH023109000,Isabela,Cordon,2
PH023124000,Isabela,Ramon,2
PH012815000,Ilocos Norte,Pagudpud,2
PH012801000,Ilocos Norte,Adams,2
PH012810000,Ilocos Norte,Dumalneg,2
PH012823000,Ilocos Norte,Vintar,2
PH012804000,Ilocos Norte,Bangui,2
PH012806000,Ilocos Norte,Burgos,2
PH012817000,Ilocos Norte,Pasuquin,2
PH012807000,Ilocos Norte,Carasi,2
PH012814000,Ilocos Norte,Nueva Era,2
PH012822000,Ilocos Norte,Solsona,2
PH012818000,Ilocos Norte,Piddig,2
PH012802000,Ilocos Norte,Bacarra,2
PH012820000,Ilocos Norte,San Nicolas,2
PH012821000,Ilocos Norte,Sarrat,2
PH012812000,Ilocos Norte,Laoag City,2
PH012809000,Ilocos Norte,Dingras,2
PH012813000,Ilocos Norte,Marcos,2
PH012805000,Ilocos Norte,City of Batac,2
PH012816000,Ilocos Norte,Paoay,2
PH012808000,Ilocos Norte,Currimao,2
PH012819000,Ilocos Norte,Pinili,2
PH012811000,Ilocos Norte,Banna,2
PH012803000,Ilocos Norte,Badoc,2
PH020906000,Batanes,Uyugan,2
PH020903000,Batanes,Ivana,2
PH020901000,Batanes,Basco,2
PH020902000,Batanes,Itbayat,2
PH020905000,Batanes,Sabtang,2
PH020904000,Batanes,Mahatao,2
PH012910000,Ilocos Sur,Gregorio del Pilar,2
PH012912000,Ilocos Sur,Magsingal,2
PH012918000,Ilocos Sur,San Esteban,2
PH012902000,Ilocos Sur,Banayoyo,2
PH012908000,Ilocos Sur,Cervantes,2
PH012904000,Ilocos Sur,Burgos,2
PH012906000,Ilocos Sur,City of Candon,2
PH012925000,Ilocos Sur,Santa Lucia,2
PH012927000,Ilocos Sur,Santiago,2
PH012921000,Ilocos Sur,San Vicente,2
PH012923000,Ilocos Sur,Santa Catalina,2
PH012911000,Ilocos Sur,Lidlidda,2
PH012913000,Ilocos Sur,Nagbukel,2
PH012930000,Ilocos Sur,Sinait,2
PH012932000,Ilocos Sur,Suyo,2
PH012929000,Ilocos Sur,Sigay,2
PH012919000,Ilocos Sur,San Ildefonso,2
PH012909000,Ilocos Sur,Galimuyod,2
PH012915000,Ilocos Sur,Quirino,2
PH012934000,Ilocos Sur,City of Vigan,2
PH012917000,Ilocos Sur,San Emilio,2
PH012905000,Ilocos Sur,Cabugao,2
PH012907000,Ilocos Sur,Caoayan,2
PH012901000,Ilocos Sur,Alilem,2
PH012920000,Ilocos Sur,San Juan,2
PH012922000,Ilocos Sur,Santa,2
PH012903000,Ilocos Sur,Bantay,2
PH012928000,Ilocos Sur,Santo Domingo,2
PH012931000,Ilocos Sur,Sugpon,2
PH012933000,Ilocos Sur,Tagudin,2
PH012924000,Ilocos Sur,Santa Cruz,2
PH012926000,Ilocos Sur,Santa Maria,2
PH012914000,Ilocos Sur,Narvacan,2
PH012916000,Ilocos Sur,Salcedo,2
PH140116000,Abra,Manabo,2
PH140118000,Abra,Pidigan,2
PH140122000,Abra,San Juan,2
PH140124000,Abra,Tayum,2
PH140112000,Abra,Langiden,2
PH140114000,Abra,Luba,2
PH140102000,Abra,Boliney,2
PH140120000,Abra,Sallapadan,2
PH140104000,Abra,Bucloc,2
PH140110000,Abra,Lagangilang,2
PH140126000,Abra,Tubo,2
PH140106000,Abra,Danglas,2
PH140127000,Abra,Villaviciosa,2
PH140108000,Abra,La Paz,2
PH140113000,Abra,Licuan-Baay,2
PH140119000,Abra,Pilar,2
PH140125000,Abra,Tineg,2
PH140115000,Abra,Malibcong,2
PH140117000,Abra,Peñarrubia,2
PH140121000,Abra,San Isidro,2
PH140105000,Abra,Daguioman,2
PH140123000,Abra,San Quintin,2
PH140107000,Abra,Dolores,2
PH140111000,Abra,Lagayan,2
PH140101000,Abra,Bangued,2
PH140103000,Abra,Bucay,2
PH140109000,Abra,Lacub,2
PH144403000,Mountain Province,Besao,2
PH144410000,Mountain Province,Tadian,2
PH144409000,Mountain Province,Sagada,2
PH144402000,Mountain Province,Bauko,2
PH144408000,Mountain Province,Sadanga,2
PH144404000,Mountain Province,Bontoc,2
PH144406000,Mountain Province,Paracelis,2
PH144405000,Mountain Province,Natonin,2
PH144407000,Mountain Province,Sabangan,2
PH144401000,Mountain Province,Barlig,2
PH142704000,Ifugao,Lagawe,2
PH142706000,Ifugao,Mayoyao,2
PH142702000,Ifugao,Hungduan,2
PH142708000,Ifugao,Aguinaldo,2
PH142711000,Ifugao,Asipulo,2
PH142701000,Ifugao,Banaue,2
PH142707000,Ifugao,Alfonso Lista,2
PH142709000,Ifugao,Hingyon,2
PH142703000,Ifugao,Kiangan,2
PH142705000,Ifugao,Lamut,2
PH142710000,Ifugao,Tinoc,2
PH025001000,Nueva Vizcaya,Ambaguio,2
PH025014000,Nueva Vizcaya,Villaverde,2
PH025013000,Nueva Vizcaya,Solano,2
PH025005000,Nueva Vizcaya,Bayombong,2
PH141103000,Benguet,Bakun,2
PH141111000,Benguet,Mankayan,2
PH141105000,Benguet,Buguias,2
PH141107000,Benguet,Kabayan,2
PH141109000,Benguet,Kibungan,2
PH051610000,Camarines Norte,Santa Elena,1
PH051612000,Camarines Norte,Vinzons,1
PH051604000,Camarines Norte,San Lorenzo Ruiz,1
PH051606000,Camarines Norte,Labo,1
PH051602000,Camarines Norte,Capalonga,1
PH051608000,Camarines Norte,Paracale,1
PH051609000,Camarines Norte,San Vicente,1
PH051611000,Camarines Norte,Talisay,1
PH051601000,Camarines Norte,Basud,1
PH051607000,Camarines Norte,Mercedes,1
PH051603000,Camarines Norte,Daet,1
PH051605000,Camarines Norte,Jose Panganiban,1
PH051735000,Camarines Sur,Siruma,1
PH051737000,Camarines Sur,Tinambac,1
PH051725000,Camarines Sur,Ocampo,1
PH051715000,Camarines Sur,Goa,1
PH051717000,Camarines Sur,Lagonoy,1
PH051721000,Camarines Sur,Milaor,1
PH051723000,Camarines Sur,Nabua,1
PH051705000,Camarines Sur,Buhi,1
PH051711000,Camarines Sur,Caramoan,1
PH051701000,Camarines Sur,Baao,1
PH051707000,Camarines Sur,Cabusao,1
PH051703000,Camarines Sur,Bato,1
PH051709000,Camarines Sur,Camaligan,1
PH051728000,Camarines Sur,Pili,1
PH051734000,Camarines Sur,Sipocot,1
PH051736000,Camarines Sur,Tigaon,1
PH051726000,Camarines Sur,Pamplona,1
PH051714000,Camarines Sur,Garchitorena,1
PH051730000,Camarines Sur,Ragay,1
PH051716000,Camarines Sur,Iriga City,1
PH051732000,Camarines Sur,San Fernando,1
PH051720000,Camarines Sur,Magarao,1
PH051722000,Camarines Sur,Minalabac,1
PH051712000,Camarines Sur,Del Gallego,1
PH051702000,Camarines Sur,Balatan,1
PH051718000,Camarines Sur,Libmanan,1
PH051724000,Camarines Sur,Naga City,1
PH051708000,Camarines Sur,Calabanga,1
PH051704000,Camarines Sur,Bombon,1
PH051706000,Camarines Sur,Bula,1
PH051710000,Camarines Sur,Canaman,1
PH051727000,Camarines Sur,Pasacao,1
PH051731000,Camarines Sur,Sagñay,1
PH051733000,Camarines Sur,San Jose,1
PH051729000,Camarines Sur,Presentacion,1
PH051713000,Camarines Sur,Gainza,1
PH051719000,Camarines Sur,Lupi,1
PH050516000,Albay,Santo Domingo,1
PH050504000,Albay,Guinobatan,1
PH050506000,Albay,Legazpi City,1
PH050510000,Albay,Malinao,1
PH050502000,Albay,Camalig,1
PH050508000,Albay,City of Ligao,1
PH050515000,Albay,Rapu-Rapu,1
PH050517000,Albay,City of Tabaco,1
PH050513000,Albay,Pio Duran,1
PH050501000,Albay,Bacacay,1
PH050503000,Albay,Daraga,1
PH050509000,Albay,Malilipot,1
PH050505000,Albay,Jovellar,1
PH050507000,Albay,Libon,1
PH050511000,Albay,Manito,1
PH050512000,Albay,Oas,1
PH050518000,Albay,Tiwi,1
PH050514000,Albay,Polangui,1
PH052002000,Catanduanes,Baras,1
PH052011000,Catanduanes,Virac,1
PH052008000,Catanduanes,San Andres,1
PH052006000,Catanduanes,Pandan,1
PH052003000,Catanduanes,Bato,1
PH052005000,Catanduanes,Gigmoto,1
PH052001000,Catanduanes,Bagamanoc,1
PH052007000,Catanduanes,Panganiban,1
PH052009000,Catanduanes,San Miguel,1
PH052010000,Catanduanes,Viga,1
PH052004000,Catanduanes,Caramoran,1
PH041015000,Batangas,Lobo,1
PH041026000,Batangas,San Pascual,1
PH041006000,Batangas,Bauan,1
PH041008000,Batangas,Calatagan,1
PH041024000,Batangas,San Luis,1
PH041016000,Batangas,Mabini,1
PH041033000,Batangas,Tingloy,1
PH041005000,Batangas,Batangas City,1
PH021514000,Cagayan,Gonzaga,3
PH023111000,Isabela,Divilacan,3
PH023117000,Isabela,Maconacon,3
PH021519000,Cagayan,Peñablanca,3
PH021513000,Cagayan,Gattaran,3
PH021516000,Cagayan,Lal-Lo,3
PH021502000,Cagayan,Alcala,3
PH021525000,Cagayan,Santa Teresita,3
PH021508000,Cagayan,Buguey,3
PH021505000,Cagayan,Aparri,3
PH021510000,Cagayan,Camalaniugan,3
PH021507000,Cagayan,Ballesteros,3
PH021503000,Cagayan,Allacapan,3
PH021501000,Cagayan,Abulug,3
PH021511000,Cagayan,Claveria,3
PH021518000,Cagayan,Pamplona,3
PH021522000,Cagayan,Sanchez-Mira,3
PH021524000,Cagayan,Santa Praxedes,3
PH021517000,Cagayan,Lasam,3
PH148101000,Apayao,Calanasan,3
PH148105000,Apayao,Luna,3
PH148107000,Apayao,Santa Marcela,3
PH148103000,Apayao,Flora,3
PH148106000,Apayao,Pudtol,3
PH021506000,Cagayan,Baggao,3
PH021504000,Cagayan,Amulung,3
PH021515000,Cagayan,Iguig,3
PH021527000,Cagayan,Solana,2
PH021509001,Cagayan,Babuyan Islands,3
PH023121000,Isabela,Palanan,3
PH054119001,Masbate,Ticao Island,1
PH054107001,Masbate,Burias Island,1
PH021523000,Cagayan,Santa Ana,4
